127.0.0.1 - - [21/Sep/2023:09:25:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:25:57 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3595
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:25:57 +0900] "GET /SMT/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:25:57 +0900] "GET /SMT/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:25:57 +0900] "GET /SMT/img/smt%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:25:57 +0900] "GET /SMT/img/%EB%B0%B0%EA%B2%BD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:25:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:09 +0900] "GET /SMT/boardPage HTTP/1.1" 200 15527
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:10 +0900] "GET /SMT/css/default.css HTTP/1.1" 200 5388
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:10 +0900] "GET /SMT/css/BoardList.css HTTP/1.1" 200 5640
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:10 +0900] "GET /SMT/css/footer.css HTTP/1.1" 200 4635
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:11 +0900] "POST /SMT/goBoard HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:14 +0900] "GET /SMT/css/BoardInfo.css HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:14 +0900] "GET /SMT/BoardInfo?board_ID=725 HTTP/1.1" 200 23963
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:14 +0900] "POST /SMT/listAns HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:21 +0900] "GET /SMT/BoardInfo?board_ID=703 HTTP/1.1" 200 23930
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:21 +0900] "POST /SMT/listAns HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:40 +0900] "GET /SMT/BoardInfo?board_ID=704 HTTP/1.1" 200 24006
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:40 +0900] "POST /SMT/listAns HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:26:43 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3595
